,name,coordinates,counter,number,street,start_address,start_loc,end_address,end_loc,accident_per_km_per_year,yearly_passage
0,10 avenue de la Grande Armée,"48.8748,2.2924",Y2H18034808,10.0,avenue de la Grande Armée,"1 avenue de la Grande Armée, Paris","48.8740552,2.2930687","60 avenue de la Grande Armée, Paris","48.8768331,2.2865341",0.9175013380227847,280489.0
1,10 boulevard Auguste Blanqui,"48.83082,2.35317",Y2H18086319,10.0,boulevard Auguste Blanqui,"1 boulevard Auguste Blanqui, Paris","48.8307103,2.3543931","60 boulevard Auguste Blanqui, Paris","48.8300869,2.3486916",1.304291117777488,425859.0
3,102 boulevard de Magenta,"48.87769,2.35475",Y2H18086312,102.0,boulevard de Magenta,"1 boulevard de Magenta, Paris","48.8687802,2.3624897","152 boulevard de Magenta, Paris","48.8819247,2.3512393",3.7621261387149647,1976256.0
4,105 rue La Fayette,"48.87773,2.3506",Y2H21100756,105.0,rue La Fayette,"1 rue La Fayette, Paris","48.8732688,2.3335955","155 rue La Fayette, Paris","48.8744015,2.3383062",1.4874680814140862,677234.0
5,106 avenue Denfert Rochereau,"48.83505,2.33333",Y2H16029278,106.0,avenue Denfert Rochereau,"1 avenue Denfert Rochereau, Paris","48.8360677,2.334032","156 avenue Denfert Rochereau, Paris","48.8360677,2.334032",3.426117039500623,728832.0
6,129 rue Lecourbe,"48.84222,2.30102",Y2H21015067,129.0,rue Lecourbe,"1 rue Lecourbe, Paris","48.8448689,2.3105595","179 rue Lecourbe, Paris","48.8407651,2.2970825",1.0865295410666376,495111.0
7,132 rue Lecourbe,"48.84209,2.30115",Y2H19070359,132.0,rue Lecourbe,"1 rue Lecourbe, Paris","48.8448689,2.3105595","182 rue Lecourbe, Paris","48.8431686,2.3045204",0.9362419249133977,465441.0
8,135 avenue Daumesnil,"48.843435,2.383378",X2H18086316,135.0,avenue Daumesnil,"1 avenue Daumesnil, Paris","48.8495144,2.3712636","185 avenue Daumesnil, Paris","48.8403463,2.3930822",1.175690483020678,733255.0
9,147 avenue d'Italie,"48.82009,2.3588",Y2H19070344,147.0,avenue d'Italie,"1 avenue d'Italie, Paris","48.8304076,2.3562232","197 avenue d'Italie, Paris","48.8307197,2.355882",1.9634792852935403,522827.0
10,152 boulevard du Montparnasse,"48.84017,2.33438",Y2H21015072,152.0,boulevard du Montparnasse,"1 boulevard du Montparnasse, Paris","48.84673225,2.317294694327537","202 boulevard du Montparnasse, Paris","48.8419005,2.3300746",3.426117039500623,826207.0
11,16 avenue de la Porte des Ternes,"48.88156,2.28122",Y2H20032437,16.0,avenue de la Porte des Ternes,"1 avenue de la Porte des Ternes, Paris","48.8814649,2.2819829","66 avenue de la Porte des Ternes, Paris","48.8814649,2.2819829",3.426117039500623,215636.0
12,18 quai de l'Hôtel de Ville,"48.85372,2.35702",Y2H21015012,18.0,quai de l'Hôtel de Ville,"1 quai de l'Hôtel de Ville, Paris","48.8556989,2.3516686","68 quai de l'Hôtel de Ville, Paris","48.8546397,2.3546501",6.082072197774678,696121.0
13,180 avenue d'Italie,"48.82048,2.35873",Y2H19070342,180.0,avenue d'Italie,"1 avenue d'Italie, Paris","48.8304076,2.3562232","230 avenue d'Italie, Paris","48.8307197,2.355882",1.9634792852935403,520612.0
15,20 Avenue de Clichy,"48.88529,2.32666",Y2H20073268,20.0,Avenue de Clichy,"1 Avenue de Clichy, Paris","48.8942004,2.3136508","70 Avenue de Clichy, Paris","48.8878805,2.3251168",1.721607817739119,970993.0
16,21 boulevard Auguste Blanqui,"48.83043,2.35335",Y2H18086315,21.0,boulevard Auguste Blanqui,"1 boulevard Auguste Blanqui, Paris","48.8307103,2.3543931","71 boulevard Auguste Blanqui, Paris","48.831542,2.3426514",1.422974395947369,220492.0
17,21 boulevard Saint Michel,"48.851525,2.343298",Y2H20052701,21.0,boulevard Saint Michel,"1 boulevard Saint Michel, Paris","48.8529819,2.3441363","71 boulevard Saint Michel, Paris","48.8463439,2.340575",3.1224908555624946,409466.0
18,243 boulevard Saint Germain,"48.86179,2.32014",Y2H18034810,243.0,boulevard Saint Germain,"1 boulevard Saint Germain, Paris","48.8492582,2.3555969","293 boulevard Saint Germain, Paris","48.8542019,2.3316483",2.1661431820643346,666927.0
19,254 rue de Vaugirard,"48.83985,2.30202",Y2H20114504,254.0,rue de Vaugirard,"1 rue de Vaugirard, Paris","48.8460124,2.3234973","304 rue de Vaugirard, Paris","48.8379236,2.297532",1.0347726733783171,1426439.0
20,26 boulevard de Ménilmontant,"48.86057,2.38886",Y2H19068860,26.0,boulevard de Ménilmontant,"1 boulevard de Ménilmontant, Paris","48.8585916,2.3892151","76 boulevard de Ménilmontant, Paris","48.864164,2.3864261",2.3514350285438086,443110.0
21,27 boulevard Diderot,"48.846099,2.375456",Y2H20124971,27.0,boulevard Diderot,"1 boulevard Diderot, Paris","48.8454577,2.3687568","77 boulevard Diderot, Paris","48.8474995,2.3868687",1.615204457964304,660016.0
22,27 quai de la Tournelle,"48.85013,2.35423",Y2H19070383,27.0,quai de la Tournelle,"1 quai de la Tournelle, Paris","48.8496177,2.3557175","77 quai de la Tournelle, Paris","48.8512566,2.3508616",2.95972497324864,2442660.0
23,28 boulevard Diderot,"48.84613,2.37559",Y2H21015011,28.0,boulevard Diderot,"1 boulevard Diderot, Paris","48.8454577,2.3687568","78 boulevard Diderot, Paris","48.8467228,2.3825919",1.5079076450917606,728718.0
25,30 rue Saint Jacques,"48.851131,2.345678",Y2H21110998,30.0,rue Saint Jacques,"1 rue Saint Jacques, Paris","48.8520638,2.346424","80 rue Saint Jacques, Paris","48.8486731,2.3443724",2.3485204321277595,1395851.0
27,33 avenue des Champs Elysées,"48.86999,2.30722",Y2H19070354,33.0,avenue des Champs Elysées,"1 avenue des Champs Elysées, Paris","48.8694701,2.3085165","83 avenue des Champs Elysées, Paris","48.8660075,2.3198382",1.6423533958071685,1043822.0
29,36 quai de Grenelle,"48.85174,2.28593",Y2H19070376,36.0,quai de Grenelle,"1 quai de Grenelle, Paris","48.8541732,2.2884887","86 quai de Grenelle, Paris","48.8519182,2.2852003",1.5629070070330817,1503228.0
30,38 rue Turbigo,"48.86502,2.35387",Y2H19070380,38.0,rue Turbigo,"1 rue Turbigo, Paris","48.8656807,2.3567128","88 rue Turbigo, Paris","48.8648799,2.3535489",4.033884630899556,2455109.0
31,39 quai François Mauriac,"48.83436,2.377",Y2H21015068,39.0,quai François Mauriac,"1 quai François Mauriac, Paris","48.8322787,2.3793965","89 quai François Mauriac, Paris","48.8344643,2.3769014",2.631655896371239,1268228.0
32,44 avenue des Champs Elysées,"48.86999,2.30743",Y2H19070341,44.0,avenue des Champs Elysées,"1 avenue des Champs Elysées, Paris","48.8694701,2.3085165","94 avenue des Champs Elysées, Paris","48.8660075,2.3198382",1.6423533958071685,774166.0
33,6 rue Julia Bartet,"48.82624,2.30281",Y2H18086323,6.0,rue Julia Bartet,"1 rue Julia Bartet, Paris","48.8268909,2.304408","56 rue Julia Bartet, Paris","48.8251134,2.3021867",0.9469696969696969,1220340.0
34,67 boulevard Voltaire,"48.86149,2.37376",Y2H18034809,67.0,boulevard Voltaire,"1 boulevard Voltaire, Paris","48.8665716,2.3656979","117 boulevard Voltaire, Paris","48.857141,2.3815325",3.6191296854803965,1584504.0
35,69 Boulevard Ornano,"48.89683,2.34521",Y2H21110997,69.0,Boulevard Ornano,"1 Boulevard Ornano, Paris","48.8917928,2.3492863","119 Boulevard Ornano, Paris","48.8934898,2.3480804",4.786979415988511,784619.0
37,7 avenue de la Grande Armée,"48.87474,2.29219",Y2H18034806,7.0,avenue de la Grande Armée,"1 avenue de la Grande Armée, Paris","48.8740552,2.2930687","57 avenue de la Grande Armée, Paris","48.8757396,2.2877621",1.188613086630084,357033.0
38,72 avenue de Flandre,"48.889046,2.374872",Y2H19070336,72.0,avenue de Flandre,"1 avenue de Flandre, Paris","48.8913791,2.3773206","122 avenue de Flandre, Paris","48.8924584,2.3794694",1.700029750520634,749696.0
39,72 boulevard Richard Lenoir,"48.86077,2.37305",Y2H16110952,72.0,boulevard Richard Lenoir,"1 boulevard Richard Lenoir, Paris","48.8602758,2.3721719","122 boulevard Richard Lenoir, Paris","48.8651147,2.3706066",4.437575553549295,1517486.0
40,72 boulevard Voltaire,"48.86155,2.37407",Y2H18034807,72.0,boulevard Voltaire,"1 boulevard Voltaire, Paris","48.8665716,2.3656979","122 boulevard Voltaire, Paris","48.8587315,2.3782523",3.9416633819471816,1678383.0
42,77 boulevard Richard Lenoir,"48.860852,2.372279",Y2I19038116,77.0,boulevard Richard Lenoir,"1 boulevard Richard Lenoir, Paris","48.8602758,2.3721719","127 boulevard Richard Lenoir, Paris","48.866002,2.3690024",4.557172990286711,1172804.0
43,87 avenue de Flandre,"48.88926,2.37472",Y2H19070334,87.0,avenue de Flandre,"1 avenue de Flandre, Paris","48.8913791,2.3773206","137 avenue de Flandre, Paris","48.8923748,2.3786472",2.470355731225297,878006.0
44,89 boulevard de Magenta,"48.87756,2.35535",Y2H18086309,89.0,boulevard de Magenta,"1 boulevard de Magenta, Paris","48.8687802,2.3624897","139 boulevard de Magenta, Paris","48.8817912,2.3508832",3.8447375831221438,1980543.0
45,90 Rue De Sèvres,"48.84641,2.31524",Y2H20052705,90.0,Rue De Sèvres,"1 Rue De Sèvres, Paris","48.851768,2.3271336","140 Rue De Sèvres, Paris","48.8451447,2.3112242",1.107059129981766,1063761.0
46,97 avenue Denfert Rochereau,"48.83504,2.33314",X2H20012081,97.0,avenue Denfert Rochereau,"1 avenue Denfert Rochereau, Paris","48.8360677,2.334032","147 avenue Denfert Rochereau, Paris","48.8360677,2.334032",3.426117039500623,575015.0
47,Face 104 rue d'Aubervilliers,"48.890457,2.368852",Y2H18086321,104.0,rue d'Aubervilliers,"1 rue d'Aubervilliers, Paris","48.884635,2.3648296","154 rue d'Aubervilliers, Paris","48.8934793,2.3700151",1.2812518684923082,931080.0
48,Face au 16 avenue de la  Porte des Ternes,"48.88168,2.28113",Y2H18086314,16.0,avenue de la  Porte des Ternes,"1 avenue de la  Porte des Ternes, Paris","48.8814649,2.2819829","66 avenue de la  Porte des Ternes, Paris","48.8814649,2.2819829",3.426117039500623,338458.0
49,Face au 25 quai de l'Oise,"48.89141,2.38482",Y2H20083609,25.0,quai de l'Oise,"1 quai de l'Oise, Paris","48.8889231,2.3798454","75 quai de l'Oise, Paris","48.8898639,2.3818661",1.0039656643742783,1010938.0
50,Face au 4 avenue de la porte de Bagnolet,"48.86485,2.40966",Y2H19070372,4.0,avenue de la porte de Bagnolet,"1 avenue de la porte de Bagnolet, Paris","48.864804,2.4100185","54 avenue de la porte de Bagnolet, Paris","48.864804,2.4100185",3.426117039500623,778463.0
52,Face au 48 quai de la marne,"48.89172,2.38531",Y2H18086318,48.0,quai de la marne,"1 quai de la marne, Paris","48.8887179,2.3807215","98 quai de la marne, Paris","48.8887179,2.3807215",3.426117039500623,2266706.0
53,Face au 70 quai de Bercy,"48.829523,2.38699",Y2H20022165,70.0,quai de Bercy,"1 quai de Bercy, Paris","48.8391651,2.3750161","120 quai de Bercy, Paris","48.8320437,2.385116",0.7196603203288048,872697.0
54,Face au 8 avenue de la porte de Charenton,"48.830331,2.400551",Y2H19070370,8.0,avenue de la porte de Charenton,"1 avenue de la porte de Charenton, Paris","48.8295112,2.4012582","58 avenue de la porte de Charenton, Paris","48.8295112,2.4012582",3.426117039500623,544719.0
63,Totem 64 Rue de Rivoli,"48.85735,2.35211",YTH19037970,64.0,Rue de Rivoli,"1 Rue de Rivoli, Paris","48.8555424,2.3592784","114 Rue de Rivoli, Paris","48.8592711,2.3462223",3.988762096354618,3885535.0
64,Totem 73 boulevard de Sébastopol,"48.86377,2.35096",YTH19111510,73.0,boulevard de Sébastopol,"1 boulevard de Sébastopol, Paris","48.8580247,2.3477239","123 boulevard de Sébastopol, Paris","48.867603,2.353077",6.943280580362488,5429796.0
65,Totem 85 quai d'Austerlitz,"48.84201,2.36729",YTH19111508,85.0,quai d'Austerlitz,"1 quai d'Austerlitz, Paris","48.8376522,2.3733212","135 quai d'Austerlitz, Paris","48.8429921,2.3664827",3.8182512409316534,2013543.0
